source_pid	source_ptitle	target_pid	target_ptitle	mean_score
19004	Moscow	381075	Moscow_Kremlin	100.0
32817	Vladimir_Putin	19004	Moscow	98.8333
961213	Shanghai_Art_Museum	27643	Shanghai	98.4
689	Asia	5405	China	97.4
12108	Greece	12418604	Mount_Olympus	96.8
15924	Julius_Caesar	753281	Roman_army	96.75
17546	Louvre	22989	Paris	96.6667
70718	Ivan_the_Terrible	25391	Russia	96.3333
31259	Tigris	10221	Euphrates	96.2
19058	Munich	172326	FC_Bayern_Munich	95.8
25391	Russia	66488	Moscow_Metro	95.1667
63639	Volga	380138	Dnieper	94.75
645042	New_York_City	4848143	New_York_Yankees	94.6667
36649	Mount_St._Helens	13015878	Washington_(state)	94.4
60827	Cleopatra	21476519	Ramesses_II	94.0
180542	Himeji_Castle	15573	Japan	93.25
20455	Michael_Jordan	22093	National_Basketball_Association	93.0
7515928	Iraq	14653	Iran	93.0
14653	Iran	159999	University_of_Tehran	93.0
265586	Jeremy_Clarkson	581172	BBC_Worldwide	92.5
10287	Hirohito	30057	Tokyo	92.0
9316	England	25978572	University_of_Cambridge	92.0
26413	Real_Madrid_CF	68187	FC_Barcelona	91.8333
21648	New_Jersey	23922	Princeton_University	91.8
534366	Barack_Obama	5043192	Hillary_Clinton	91.6
14532	Italy	301088	Vatican_Hill	91.1667
2150841	Lionel_Messi	11049	FIFA	90.6667
534366	Barack_Obama	43715	John_McCain	89.6667
3301347	Tony_Blair	31717	United_Kingdom	89.6667
25433	Ronald_Reagan	534366	Barack_Obama	89.5
16808	King_Arthur	9316	England	88.8333
460349	Ralph_Lauren	175855	Karl_Lagerfeld	88.1667
305	Achilles	1216	Athens	88.0
10979	Franklin_D._Roosevelt	25433	Ronald_Reagan	88.0
462535	Blue_Ridge_Mountains	468224	Catskill_Mountains	88.0
229765	Vatican_Museums	606848	Catholic_Church	87.8
308	Aristotle	12108	Greece	87.5
1259006	River_Kent	49031	River_Thames	87.3333
33523	Woodrow_Wilson	15992	Jimmy_Carter	86.8333
19004	Moscow	63639	Volga	86.8333
44849	Brad_Pitt	52711	Leonardo_DiCaprio	86.8
5122699	John_Kerry	5058628	Dick_Cheney	86.6
76972	Denmark	9239	Europe	86.5
964226	Shanghai_Sharks	72895	Phoenix_Suns	86.3333
11225	Ferrari	18271	Lamborghini	86.25
149127	Ferdinand_VII_of_Spain	3932850	Spanish_Armed_Forces	86.0
57570	Sachin_Tendulkar	14533	India	86.0
32897	William_Shakespeare	9549	Edgar_Allan_Poe	86.0
15924	Julius_Caesar	14532	Italy	85.8333
16743	Karl_Marx	15641	Joseph_Stalin	85.75
13041163	Adele	31717	United_Kingdom	85.6667
21492751	Nelson_Mandela	2503	African_National_Congress	85.6
99340	Sergei_Rachmaninoff	9906294	Johann_Sebastian_Bach	85.1667
10363	European_Space_Agency	1019722	Indian_Space_Research_Organisation	84.8333
19159283	Seoul	46445426	Samsung_Electronics	84.8333
19008577	William_Shatner	363856	George_Takei	84.1667
891158	Condé_Nast	3329087	Virgin_Media	84.0
46989	Grand_Canyon	180968	Colorado_River	83.4
25459	Rocky_Mountains	37966	Himalayas	82.2
26458	Rosa_Parks	25624937	NAACP	81.6
9464813	Mikhail_Bulgakov_Museum	19004	Moscow	80.8333
12731	George_Harrison	18081	Liverpool	80.8
89659	Aeroflot	145623	Air_Canada	80.8
284379	Cirque_du_Soleil	440878	New_York_City_Ballet	80.5
61603	Gondor	58644	Nazgûl	80.4
72811	Zhang_Ziyi	18603746	Beijing	80.0
7955325	University_of_Toronto	31922	University_of_California,_Berkeley	79.5
3970	British_Airways	89659	Aeroflot	79.4
38965	Cary_Grant	19008577	William_Shatner	79.3333
265949	Qianlong_Emperor	241636	Cao_Cao	79.2
12058019	Hungarian_Natural_History_Museum	36787	Budapest	79.1667
158984	Harvard_Law_School	67704	London_School_of_Economics	78.8333
31956	United_Nations_Security_Council	172185	World_Economic_Forum	78.75
352699	Shah_Rukh_Khan	615942	Abhishek_Bachchan	78.6667
21209639	Danube	49031	River_Thames	78.6
5132	Charlize_Theron	129218	Screen_Actors_Guild	78.5
21241	Norway	76972	Denmark	77.6667
63639	Volga	21244	Nile	77.2
139098	Toshiro_Mifune	872	Akira_Kurosawa	76.8333
23041	Puerto_Rico	5042481	Cuba	76.5
275519	Matterhorn	42179	Mount_Everest	76.5
15782	Jane_Austen	9549	Edgar_Allan_Poe	76.4
4345474	American_Red_Cross	581673	American_Heart_Association	76.4
23041	Puerto_Rico	3434750	United_States	76.3333
1095706	Jesus	3395	Gautama_Buddha	76.25
5042481	Cuba	18933066	Florida	76.0
352699	Shah_Rukh_Khan	19189	Mumbai	76.0
17888	Leon_Trotsky	11625	Fyodor_Dostoevsky	75.75
29130717	Modern_Gallery,_Zagreb	55906	Zagreb	75.75
68187	FC_Barcelona	1056336	FC_Seoul	75.5
14531	Iceland	12118	Greenland	74.8333
22537	Odysseus	12418604	Mount_Olympus	74.8333
20076	Martin_Luther_King_Jr.	26458	Rosa_Parks	74.5
153295	Daniel_Radcliffe	166959	Matt_Damon	74.25
