source_pid	source_ptitle	target_pid	target_ptitle	mean_score
11225	Ferrari	18271	Lamborghini	97.6
1259006	River_Kent	49031	River_Thames	93.6
25433	Ronald_Reagan	534366	Barack_Obama	93.5
36649	Mount_St._Helens	46817	Mount_Vesuvius	93.0
689	Asia	5405	China	92.75
29130717	Modern_Gallery,_Zagreb	55906	Zagreb	92.25
23815630	FC_Dynamo_Voronezh	298602	Leicester_City_F.C.	92.0
645042	New_York_City	4848143	New_York_Yankees	91.5
32817	Vladimir_Putin	19004	Moscow	91.4
891158	Condé_Nast	3329087	Virgin_Media	90.8
7515928	Iraq	14653	Iran	90.8
25459	Rocky_Mountains	37966	Himalayas	90.75
334751	Cambodia	17049	Khmer_Rouge	90.75
20455	Michael_Jordan	22093	National_Basketball_Association	90.0
17546	Louvre	22989	Paris	89.8
44849	Brad_Pitt	52711	Leonardo_DiCaprio	89.8
63639	Volga	21244	Nile	89.75
14532	Italy	5843419	France	89.0
462535	Blue_Ridge_Mountains	468224	Catskill_Mountains	88.8
349679	Technical_University_of_Munich	340454	Leipzig_University	88.75
19004	Moscow	381075	Moscow_Kremlin	88.5
23964683	University_of_Missouri	77958	University_of_North_Carolina_at_Greensboro	88.25
9316	England	25978572	University_of_Cambridge	86.75
10363	European_Space_Agency	1019722	Indian_Space_Research_Organisation	86.5
26413	Real_Madrid_CF	68187	FC_Barcelona	86.5
19698439	Oxfam	450053	Habitat_for_Humanity	86.5
3356	Bill_Clinton	13076	Gordon_Brown	86.4
36649	Mount_St._Helens	13015878	Washington_(state)	86.25
7955325	University_of_Toronto	31922	University_of_California,_Berkeley	86.25
10979	Franklin_D._Roosevelt	25433	Ronald_Reagan	86.0
19058	Munich	172326	FC_Bayern_Munich	85.6
3301347	Tony_Blair	31717	United_Kingdom	85.4
25391	Russia	66488	Moscow_Metro	85.4
3970	British_Airways	89659	Aeroflot	85.4
229765	Vatican_Museums	606848	Catholic_Church	85.25
21209639	Danube	49031	River_Thames	84.6
