source_pid	source_ptitle	target_pid	target_ptitle	mean_score
71869	Ferrari	4190499	Lamborghini	97.6
6577880	River_Kent	14087	Themse	93.6
23360	Ronald_Reagan	297666	Barack_Obama	93.5
81727	Mount_St._Helens	5423	Vesuv	93.0
173	Asien	1256402	Volksrepublik_China	92.75
204956	New_York_City	146378	New_York_Yankees	91.5
19955	Wladimir_Wladimirowitsch_Putin	3221050	Moskau	91.4
2421	Irak	976876	Iran	90.8
15070	Rocky_Mountains	16507	Himalaya	90.75
8560	Kambodscha	21341	Rote_Khmer	90.75
32444	Michael_Jordan	55419	National_Basketball_Association	90.0
2985	Louvre	11446	Paris	89.8
51637	Brad_Pitt	2966	Leonardo_DiCaprio	89.8
13771	Wolga	3544	Nil	89.75
705421	Italien	1588	Frankreich	89.0
1566772	Blue_Ridge_Mountains	506039	Catskill_Mountains	88.8
2522660	Technische_Universität_München	34016	Universität_Leipzig	88.75
3221050	Moskau	605613	Moskauer_Kreml	88.5
1864872	University_of_Missouri	1923149	University_of_North_Carolina_at_Greensboro	88.25
3003238	England	98316	University_of_Cambridge	86.75
14914	Europäische_Weltraumorganisation	237106	Indian_Space_Research_Organisation	86.5
690175	Real_Madrid	2104336	FC_Barcelona	86.5
367496	Oxfam	4727610	Habitat_for_Humanity	86.5
19186	Bill_Clinton	2705447	Gordon_Brown	86.4
81727	Mount_St._Helens	61364	Washington_(Bundesstaat)	86.25
872570	University_of_Toronto	254617	University_of_California,_Berkeley	86.25
16109	Franklin_D._Roosevelt	23360	Ronald_Reagan	86.0
3215	München	3437350	FC_Bayern_München	85.6
5133	Tony_Blair	8473	Vereinigtes_Königreich	85.4
3412152	Russland	328324	Metro_Moskau	85.4
905340	British_Airways	157625	Aeroflot	85.4
213553	Vatikanische_Museen	4461846	Römisch-katholische_Kirche	85.25
1123	Donau	14087	Themse	84.6
1036306	Danielle_Steel	41907	Ernest_Hemingway	84.25
3498510	Griechenland	26747	Olymp	84.2
23028	Puerto_Rico	7842	Kuba	83.2
702930	Jon_Stewart_(Schauspieler)	4459093	Glenn_Beck	81.75
13425	Maya_Angelou	362144	Bell_hooks	81.6
4998071	Dänemark	10108	Europa	81.0
140	Aristoteles	3498510	Griechenland	81.0
20186	Martin_Luther_King	156466	Rosa_Parks	80.6
2664	Karl_Marx	2915554	Josef_Stalin	80.25
297666	Barack_Obama	483724	John_McCain	79.8
11000	Matterhorn	3397	Mount_Everest	79.75
57989	Leo_Trotzki	7942691	Fjodor_Michailowitsch_Dostojewski	79.4
43984	Bugatti	485371	Chrysler	78.5
181808	Daniel_Radcliffe	277633	Matt_Damon	78.5
136512	Gondor	214847	Nazgûl	77.8
2071594	Island	1937	Grönland	77.75
43608	William_Shatner	290231	George_Takei	77.75
13771	Wolga	17354	Dnepr	76.0
110112	American_Civil_Liberties_Union	888022	National_Association_for_the_Advancement_of_Colored_People	76.0
82133	Jane_Austen	1033706	Edgar_Allan_Poe	75.5
2846103	Amerikanisches_Rotes_Kreuz	1420885	American_Heart_Association	75.5
20830	New_Jersey	112828	Princeton_University	75.25
2062836	Kunstmuseum_Shanghai	14008	Shanghai	75.2
88013	Königlich_Schwedische_Akademie_der_Wissenschaften	1760637	Indian_Institute_of_Technology	75.2
1470977	Iwan_IV._(Russland)	3412152	Russland	75.0
770007	Lionel_Messi	1279383	Derek_Jeter	75.0
39869	Silvio_Berlusconi	23360	Ronald_Reagan	74.8
3548	Norwegen	4998071	Dänemark	74.5
361629	Heer_(Bundeswehr)	3405676	Armada_Española	74.5
8298728	Michail-Bulgakow-Museum	3221050	Moskau	74.25
297666	Barack_Obama	63089	Hillary_Clinton	74.25
362539	Jesus_Christus	8352203	Siddhartha_Gautama	74.2
187356	Ben_Affleck	1120373	Rosario_Dawson	74.0
2193	Hirohito	187830	Präfektur_Tokio	73.6
2551	Johann_Sebastian_Bach	18744	Claude_Debussy	73.0
976876	Iran	1625180	Universität_Teheran	72.2
8567	Singapur	4264261	Laos	71.5
2187236	Osmanisches_Reich	852604	Türkei	71.2
29259	Muhammad_Ali	1150848	World_Boxing_Organization	71.0
6628774	Ralph_Lauren	3822124	Karl_Lagerfeld	70.5
2677	Kanada	1937	Grönland	69.75
40382	Sergei_Wassiljewitsch_Rachmaninow	2551	Johann_Sebastian_Bach	69.25
289440	Qianlong	194166	Cao_Cao	69.2
770007	Lionel_Messi	180523	Wayne_Gretzky	68.75
770007	Lionel_Messi	1696	FIFA	68.6
505297	National_Collegiate_Athletic_Association	4691335	United_States_Olympic_Committee	68.6
13786	Peking	14015	Jangtsekiang	68.25
8473	Vereinigtes_Königreich	372683	Eton_College	68.0
202678	Toshirō_Mifune	41339	Akira_Kurosawa	67.8
13215	Achilleus	3984436	Athen	67.75
17368	Wladimir_Iljitsch_Lenin	52491	Bolschewiki	67.6
8503	Nepal	4875	Sudan	67.5
124789	Shah_Rukh_Khan	74633	Fred_Astaire	67.4
176805	Arjuna_(Mythologie)	2391	Indien	67.4
1102883	Sachin_Tendulkar	1959106	Ken_Griffey_junior	67.0
22778	George_Harrison	44910	Liverpool	67.0
10640	Wales	2683672	Cardiff_University	66.25
9191	Burkina_Faso	1182	Demokratische_Republik_Kongo	65.8
1018398	A._R._Rahman	389526	John_Philip_Sousa	65.75
157625	Aeroflot	905336	Air_Canada	65.75
99345	Kirgisistan	852604	Türkei	65.2
1147576	Guatemala	10649	Dominikanische_Republik	65.0
5346	Ukraine	8518	Litauen	65.0
2773	Kalifornien	2205	Hawaii	64.75
60665	Lyndon_B._Johnson	101952	John_Kerry	64.75
10108	Europa	59739	Manchester_United	64.75
5662	Woodrow_Wilson	14939	Jimmy_Carter	64.5
3229700	Adele_(Sängerin)	8473	Vereinigtes_Königreich	64.5
362144	Bell_hooks	12318	Ayn_Rand	64.5
2985	Louvre	143747	Museo_del_Prado	64.25
2491	Julia_Roberts	3764399	Lady_Gaga	64.0
141	Abraham_Lincoln	3575	Napoleon_Bonaparte	64.0
122218	Winston_Churchill	60665	Lyndon_B._Johnson	63.4
506924	David_Sedaris	121041	Buster_Keaton	63.4
195	Algerien	1588	Frankreich	63.0
8518	Litauen	4247685	Kosovo	62.75
1058814	Harvard_Law_School	165309	London_School_of_Economics_and_Political_Science	62.25
20241	Marilyn_Monroe	51637	Brad_Pitt	62.25
19955	Wladimir_Wladimirowitsch_Putin	328324	Metro_Moskau	62.2
976876	Iran	154	Afghanistan	62.0
