source_pid	source_ptitle	target_pid	target_ptitle	mean_score
58962	Ferrari_(entreprise)	62870	Lamborghini	97.6
8456701	Kent_(fleuve)	59399	Tamise	93.6
32864	Ronald_Reagan	167398	Barack_Obama	93.5
132366	Mont_Saint_Helens	1537404	Vésuve	93.0
159	Asie	10853	Chine	92.75
2179	New_York	185422	Yankees_de_New_York	91.5
3173	Vladimir_Poutine	12322	Moscou	91.4
135357	Condé_Nast_Publications	2452440	Virgin_Media	90.8
470872	Irak	1510	Iran	90.8
67176	Montagnes_Rocheuses	14398	Himalaya	90.75
575	Cambodge	140644	Khmers_rouges	90.75
50915	Michael_Jordan	38901	National_Basketball_Association	90.0
36857	Musée_du_Louvre	681159	Paris	89.8
1890206	Brad_Pitt	85276	Leonardo_DiCaprio	89.8
15624	Volga	2192	Nil	89.75
1492	Italie	1095	France	89.0
2093027	Montagnes_Blue_Ridge	1462918	Montagnes_Catskill	88.8
2987016	Université_technique_de_Munich	1016864	Université_de_Leipzig	88.75
12322	Moscou	235404	Kremlin_de_Moscou	88.5
1649400	Université_du_Missouri_à_Columbia	9838297	Université_de_Caroline_du_Nord_à_Greensboro	88.25
4925	Angleterre	31154	Université_de_Cambridge	86.75
6766	Agence_spatiale_européenne	755879	Organisation_indienne_pour_la_recherche_spatiale	86.5
93033	Real_Madrid_Club_de_Fútbol	2018928	FC_Barcelone_(football)	86.5
1024085	Oxfam_International	4038126	Habitat_for_Humanity_International	86.5
15793	Bill_Clinton	243335	Gordon_Brown	86.4
132366	Mont_Saint_Helens	7595	Washington_(État)	86.25
181814	Université_de_Toronto	5333	Université_de_Californie_à_Berkeley	86.25
12399	Franklin_Delano_Roosevelt	32864	Ronald_Reagan	86.0
12564	Munich	62528	Bayern_Munich	85.6
35545	Tony_Blair	2551	Royaume-Uni	85.4
2549	Russie	207603	Métro_de_Moscou	85.4
51590	British_Airways	148269	Aeroflot	85.4
304000	Musées_du_Vatican	6130480	Église_catholique	85.25
15829	Danube	59399	Tamise	84.6
988359	Danielle_Steel	67519	Ernest_Hemingway	84.25
1221	Grèce	56462	Mont_Olympe	84.2
16691	Porto_Rico	1295132	Cuba	83.2
158476	Jon_Stewart	4137390	Glenn_Beck	81.75
522282	Maya_Angelou	1156955	Bell_hooks	81.6
841	Danemark	1009	Europe	81.0
815713	Aristote	1221	Grèce	81.0
7134	Martin_Luther_King	286843	Rosa_Parks	80.6
15766	Karl_Marx	32476	Joseph_Staline	80.25
