source_pid	source_ptitle	target_pid	target_ptitle	mean_score
2305223	Ferrari	62275	Lamborghini	97.6
24091	Ronald_Reagan	4714697	Barack_Obama	93.5
99871	Monte_Saint_Helens	4442	Vesuvio	93.0
1669444	Asia	1563766	Cina	92.75
8198095	Galleria_d'arte_moderna_di_Zagabria	41807	Zagabria	92.25
2386942	New_York	235545	New_York_Yankees	91.5
2388986	Vladimir_Putin	24917	Mosca_(Russia)	91.4
5490391	Condé_Nast_Publications	2266632	Virgin_Media	90.8
2905701	Iraq	2531534	Iran	90.8
228178	Montagne_Rocciose	1430723	Himalaya	90.75
75350	Cambogia	1367906	Khmer_rossi	90.75
40251	Michael_Jordan	44819	NBA	90.0
1239352	Museo_del_Louvre	3198	Parigi	89.8
166127	Brad_Pitt	2839721	Leonardo_DiCaprio	89.8
39777	Volga	3026	Nilo	89.75
2340360	Italia	2563338	Francia	89.0
2137910	Monti_Blue_Ridge	5424319	Monti_Catskill	88.8
1440725	Università_tecnica_di_Monaco	1560485	Università_di_Lipsia	88.75
24917	Mosca_(Russia)	363235	Cremlino_di_Mosca	88.5
713477	Inghilterra	26685	Università_di_Cambridge	86.75
9043	Agenzia_spaziale_europea	153486	Indian_Space_Research_Organisation	86.5
83982	Real_Madrid_Club_de_Fútbol	104063	Futbol_Club_Barcelona	86.5
26889	Bill_Clinton	252785	Gordon_Brown	86.4
99871	Monte_Saint_Helens	68984	Washington_(stato)	86.25
349421	Università_di_Toronto	619877	Università_della_California,_Berkeley	86.25
61029	Franklin_Delano_Roosevelt	24091	Ronald_Reagan	86.0
20439	Monaco_di_Baviera	104062	Fußball-Club_Bayern_München	85.6
93762	Tony_Blair	2091116	Regno_Unito	85.4
2378921	Russia	54692	Metropolitana_di_Mosca	85.4
804	British_Airways	745598	Aeroflot	85.4
1200287	Musei_Vaticani	2481325	Chiesa_cattolica	85.25
40963	Danubio	59880	Tamigi	84.6
827067	Danielle_Steel	53339	Ernest_Hemingway	84.25
698940	Grecia	698379	Olimpo	84.2
83314	Porto_Rico	2949457	Cuba	83.2
1105956	Maya_Angelou	6342237	Bell_hooks	81.6
126159	Danimarca	650233	Europa	81.0
684871	Aristotele	698940	Grecia	81.0
6425639	Martin_Luther_King	225447	Rosa_Parks	80.6
2699954	Karl_Marx	2406058	Iosif_Stalin	80.25
4714697	Barack_Obama	658156	John_McCain	79.8
19889	Cervino	15659	Everest	79.75
14627	Lev_Trockij	103219	Fëdor_Dostoevskij	79.4
795898	Daniel_Radcliffe	168455	Matt_Damon	78.5
72678	Gondor	217374	Nazgûl	77.8
2257193	Islanda	10293	Groenlandia	77.75
133732	William_Shatner	746112	George_Takei	77.75
2395427	Brasile	2972576	Bric	77.25
2705078	Shanghai_Sharks	50217	Phoenix_Suns	76.4
39777	Volga	115898	Dnepr	76.0
45923	American_Civil_Liberties_Union	2617233	National_Association_for_the_Advancement_of_Colored_People	76.0
2456760	Jane_Austen	225442	Edgar_Allan_Poe	75.5
2895327	Croce_Rossa_Americana	2561815	American_Heart_Association	75.5
52148	New_Jersey	79725	Università_di_Princeton	75.25
39226	Ivan_IV_di_Russia	2378921	Russia	75.0
2111716	Lionel_Messi	2030281	Derek_Jeter	75.0
2749106	Silvio_Berlusconi	24091	Ronald_Reagan	74.8
15459	Norvegia	126159	Danimarca	74.5
2300762	Heer_(Bundeswehr)	2650890	Armada_Española	74.5
4714697	Barack_Obama	120672	Hillary_Clinton	74.25
2386304	Gesù	17052	Gautama_Buddha	74.2
114149	Ben_Affleck	909283	Rosario_Dawson	74.0
13204	Hirohito	13036	Tokyo	73.6
38897	Johann_Sebastian_Bach	80151	Claude_Debussy	73.0
2531534	Iran	322500	Università_di_Teheran	72.2
654409	Singapore	78513	Laos	71.5
87754	Impero_ottomano	15461	Turchia	71.2
137122	Muhammad_Ali	2492857	World_Boxing_Organization	71.0
1359399	Ralph_Lauren	237362	Karl_Lagerfeld	70.5
2912838	Gaio_Giulio_Cesare	136351	Esercito_romano	69.75
2507310	Canada	10293	Groenlandia	69.75
25649	Sergej_Vasil'evič_Rachmaninov	38897	Johann_Sebastian_Bach	69.25
1419958	Qianlong	852448	Cáo_Cāo	69.2
2111716	Lionel_Messi	240284	Wayne_Gretzky	68.75
2111716	Lionel_Messi	1318760	Fédération_Internationale_de_Football_Association	68.6
283555	National_Collegiate_Athletic_Association	2623639	Comitato_Olimpico_degli_Stati_Uniti	68.6
44386	Pechino	76893	Fiume_Azzurro	68.25
2091116	Regno_Unito	344902	Eton_College	68.0
237242	Toshirō_Mifune	44138	Akira_Kurosawa	67.8
689674	Achille	689859	Atene	67.75
15653	Nepal	69819	Sudan	67.5
534294	Shah_Rukh_Khan	246521	Fred_Astaire	67.4
107017	Arjuna	806862	India	67.4
4476343	Sachin_Tendulkar	3998390	Ken_Griffey_Jr.	67.0
53622	George_Harrison	76605	Liverpool	67.0
89482	Galles	6293339	Università_di_Cardiff	66.25
1766645	Burkina_Faso	69979	Repubblica_Democratica_del_Congo	65.8
2473112	A._R._Rahman	1669910	John_Philip_Sousa	65.75
745598	Aeroflot	1787356	Air_Canada	65.75
83913	Kirghizistan	15461	Turchia	65.2
12825	Guatemala	1507444	Repubblica_Dominicana	65.0
28818	Ucraina	2587	Lituania	65.0
1441	California	15138	Hawaii	64.75
120065	Lyndon_B._Johnson	14438	John_Kerry	64.75
650233	Europa	104064	Manchester_United_Football_Club	64.75
20664	Thomas_Woodrow_Wilson	2433	Jimmy_Carter	64.5
1652100	Adele_(cantante)	2091116	Regno_Unito	64.5
6342237	Bell_hooks	242502	Ayn_Rand	64.5
1239352	Museo_del_Louvre	1153368	Museo_del_Prado	64.25
24381	Julia_Roberts	1902667	Lady_Gaga	64.0
20112	Abraham_Lincoln	2366308	Napoleone_Bonaparte	64.0
4578	Winston_Churchill	120065	Lyndon_B._Johnson	63.4
1252975	David_Sedaris	73751	Buster_Keaton	63.4
701243	Algeria	2563338	Francia	63.0
2587	Lituania	1979467	Kosovo	62.75
3756203	Harvard_Law_School	544633	London_School_of_Economics_and_Political_Science	62.25
2043630	Marilyn_Monroe	166127	Brad_Pitt	62.25
2388986	Vladimir_Putin	54692	Metropolitana_di_Mosca	62.2
2531534	Iran	1625285	Afghanistan	62.0
2234647	Michelangelo_Buonarroti	2481325	Chiesa_cattolica	61.8
1058047	Castello_di_Himeji	2408110	Giappone	61.75
115407	Cleopatra	1431625	Ramses_II	61.75
1015742	Richard_Pryor	9464	Cary_Grant	61.6
1201772	New_York_City_Ballet	643911	Orchestra_Sinfonica_di_Londra	61.4
246521	Fred_Astaire	3193666	Carol_Channing	61.25
83314	Porto_Rico	1563740	Stati_Uniti_d'America	61.25
