source_pid	source_ptitle	target_pid	target_ptitle	mean_score
252535	モスクワ	236399	クレムリン	100.0
52724	ウラジーミル・プーチン	252535	モスクワ	98.8333
1518522	上海美術館	13164	上海市	98.4
339792	アジア	1903	中華人民共和国	97.4
4381	ギリシャ	1061956	オリンポス山	96.8
19336	ガイウス・ユリウス・カエサル	854957	ローマ軍	96.75
59554	ルーヴル美術館	31	パリ	96.6667
192622	イヴァン4世	109	ロシア	96.3333
88651	ティグリス川	88629	ユーフラテス川	96.2
52145	ミュンヘン	1908925	FCバイエルン・ミュンヘン	95.8
109	ロシア	545501	モスクワ地下鉄	95.1667
50144	ヴォルガ川	57547	ドニエプル川	94.75
507175	ニューヨーク	59238	ニューヨーク・ヤンキース	94.6667
304782	セント・ヘレンズ山	2400	ワシントン州	94.4
6588	クレオパトラ7世	1870099	ラムセス2世	94.0
46690	姫路城	1864744	日本	93.25
30336	マイケル・ジョーダン	23471	NBA	93.0
101	イラク	102	イラン	93.0
102	イラン	719792	テヘラン大学	93.0
1782925	ジェレミー・クラークソン	2644094	BBCワールドワイド	92.5
266464	昭和天皇	774362	東京都	92.0
16627	イングランド	46432	ケンブリッジ大学	92.0
20581	レアル・マドリード	31717	FCバルセロナ	91.8333
58814	ニュージャージー州	16219	プリンストン大学	91.8
3097844	バラク・オバマ	33206	ヒラリー・クリントン	91.6
326726	リオネル・メッシ	12306	国際サッカー連盟	90.6667
3097844	バラク・オバマ	1604174	ジョン・マケイン	89.6667
95479	トニー・ブレア	1698893	イギリス	89.6667
5013	ロナルド・レーガン	3097844	バラク・オバマ	89.5
3099291	アーサー王	16627	イングランド	88.8333
325224	ラルフ・ローレン	109589	カール・ラガーフェルド	88.1667
6667	アキレウス	7996	アテネ	88.0
1163462	フランクリン・ルーズベルト	5013	ロナルド・レーガン	88.0
1115641	ブルーリッジ山脈	1943736	キャッツキル山地	88.0
165160	バチカン美術館	258853	カトリック教会	87.8
8761	アリストテレス	4381	ギリシャ	87.5
1163483	ウッドロウ・ウィルソン	1163458	ジミー・カーター	86.8333
252535	モスクワ	50144	ヴォルガ川	86.8333
679295	ブラッド・ピット	135971	レオナルド・ディカプリオ	86.8
109298	ジョン・フォーブズ・ケリー	21372	ディック・チェイニー	86.6
1698850	デンマーク	32	ヨーロッパ	86.5
833056	上海嗶哩嗶哩籃球倶楽部	177229	フェニックス・サンズ	86.3333
73299	フェラーリ	44122	ランボルギーニ	86.25
523021	フェルナンド7世_(スペイン王)	1715384	スペイン軍	86.0
1579136	サチン・テンドルカール	2009	インド	86.0
4644	ウィリアム・シェイクスピア	18260	エドガー・アラン・ポー	86.0
19336	ガイウス・ユリウス・カエサル	3374	イタリア	85.8333
15509	カール・マルクス	1451262	ヨシフ・スターリン	85.75
1420943	アデル_(歌手)	1698893	イギリス	85.6667
35453	ネルソン・マンデラ	458977	アフリカ民族会議	85.6
84085	セルゲイ・ラフマニノフ	26624	ヨハン・ゼバスティアン・バッハ	85.1667
7270	欧州宇宙機関	973292	インド宇宙研究機関	84.8333
255677	ソウル特別市	830745	サムスン電子	84.8333
730484	ウィリアム・シャトナー	633304	ジョージ・タケイ	84.1667
2182376	コンデナスト・パブリケーションズ	2560761	ヴァージン・メディア	84.0
102860	グランド・キャニオン	208880	コロラド川	83.4
96245	ロッキー山脈	13348	ヒマラヤ山脈	82.2
122163	ローザ・パークス	123360	全米黒人地位向上協会	81.6
4617	ジョージ・ハリスン	42244	リヴァプール	80.8
168531	アエロフロート・ロシア航空	144438	エア・カナダ	80.8
237415	シルク・ドゥ・ソレイユ	904982	ニューヨーク・シティ・バレエ団	80.5
35916	ゴンドール	86944	指輪の幽鬼	80.4
136060	章子怡	6025	北京市	80.0
72179	トロント大学	62270	カリフォルニア大学バークレー校	79.5
172960	ブリティッシュ・エアウェイズ	168531	アエロフロート・ロシア航空	79.4
240095	ケーリー・グラント	730484	ウィリアム・シャトナー	79.3333
62494	乾隆帝	18545	曹操	79.2
2356307	ハンガリー自然史博物館	57319	ブダペスト	79.1667
1338773	ハーバード・ロー・スクール	132683	ロンドン・スクール・オブ・エコノミクス	78.8333
5114	国際連合安全保障理事会	345818	世界経済フォーラム	78.75
306377	シャー・ルク・カーン	1112059	アビシェーク・バッチャン	78.6667
46678	ドナウ川	171081	テムズ川	78.6
252994	シャーリーズ・セロン	1224495	映画俳優組合	78.5
6367	ノルウェー	1698850	デンマーク	77.6667
50144	ヴォルガ川	552402	ナイル川	77.2
51666	三船敏郎	1970	黒澤明	76.8333
40131	プエルトリコ	12648	キューバ	76.5
21709	マッターホルン	21705	エベレスト	76.5
357341	ジェイン・オースティン	18260	エドガー・アラン・ポー	76.4
2714352	アメリカ赤十字社	772982	アメリカ心臓協会	76.4
40131	プエルトリコ	1698838	アメリカ合衆国	76.3333
1864644	イエス・キリスト	2892035	釈迦	76.25
12648	キューバ	36907	フロリダ州	76.0
306377	シャー・ルク・カーン	126526	ムンバイ	76.0
1778998	レフ・トロツキー	22926	フョードル・ドストエフスキー	75.75
31717	FCバルセロナ	266423	FCソウル	75.5
1698868	アイスランド	1698863	グリーンランド	74.8333
9752	オデュッセウス	1061956	オリンポス山	74.8333
6071	マーティン・ルーサー・キング・ジュニア	122163	ローザ・パークス	74.5
126235	ダニエル・ラドクリフ	141235	マット・デイモン	74.25
29120	ウラジーミル・レーニン	33081	ボリシェヴィキ	74.2
52724	ウラジーミル・プーチン	545501	モスクワ地下鉄	74.0
2800579	ナレンドラ・モディ	973292	インド宇宙研究機関	74.0
28584	ブルキナファソ	8593	コンゴ民主共和国	73.8333
20344	モハメド・アリ	96632	世界ボクシング機構	73.3333
3259	スイス	345818	世界経済フォーラム	72.5
30045	国際原子力機関	5114	国際連合安全保障理事会	71.5
3864260	ホワイトハウス記者協会	2182376	コンデナスト・パブリケーションズ	70.3333
72659	オスカー・ワイルド	3000583	マヤ・アンジェロウ	70.0
1698893	イギリス	111513	イートン・カレッジ	70.0
2644094	BBCワールドワイド	2182376	コンデナスト・パブリケーションズ	69.5
753545	ジョン・スチュワート_(コメディアン)	2605606	グレン・ベック	69.5
431719	アメリカ自由人権協会	123360	全米黒人地位向上協会	69.4
3378	ローマ	64854	エトナ火山	69.2
252544	デリー	973292	インド宇宙研究機関	69.1667
361039	スウェーデン王立科学アカデミー	566653	インド工科大学	69.0
16751	ウェールズ	915505	カーディフ大学	69.0
805777	デイル・アーンハート・ジュニア	9228	北アメリカ	68.8333
1094341	ビル・クリントン	252775	ゴードン・ブラウン	68.8
1908925	FCバイエルン・ミュンヘン	863278	ミュンヘン工科大学	68.5
8956	カリフォルニア州	3208	ハワイ州	67.8333
30488	キルギス	107	トルコ	67.75
1229951	オーストラリア空軍	374111	ロシア海軍	67.5
15157	世界貿易機関	132683	ロンドン・スクール・オブ・エコノミクス	67.5
32	ヨーロッパ	31139	マンチェスター・ユナイテッドFC	67.5
304782	セント・ヘレンズ山	27923	ヴェスヴィオ	67.4
430133	ブガッティ	81695	クライスラー	67.2
102	イラン	4512	アフガニスタン	66.8
358328	モンサント_(企業)	693209	デュポン_(曖昧さ回避)	66.8
25150	リトアニア	65968	コソボ	66.75
343890	フレッド・アステア	2959243	キャロル・チャニング	66.3333
109474	カイロ	774362	東京都	66.0
1791831	オックスファム	2714352	アメリカ赤十字社	65.1667
5697	織田信長	46690	姫路城	65.0
6953	アルジェリア	1698872	フランス	64.0
141243	ベン・アフレック	278096	ロザリオ・ドーソン	63.75
14218	オイディプース	8579	スパルタ	63.4
15157	世界貿易機関	128931	アメリカ合衆国国土安全保障省	63.0
84263	プラド美術館	2687	バルセロナ	62.4
60675	ベリーズ	4596	ポルトガル	62.0
1698838	アメリカ合衆国	162755	ゴールドマン・サックス	61.75
8406	ハンガリー	4512	アフガニスタン	61.0
141281	広州市	158578	中国人民銀行	61.0
